0.3226,1.38488,1.670323,1.08406
0.5515,1.83004,2.04611,1.340033
0.6415,2.169523,2.33161,1.530057
0.6853,2.493714,2.596999,1.700403
0.7138,2.809347,2.870264,1.970182
0.7331,3.125353,3.088074,2.063361
0.7475,3.379825,3.27212,2.227593
0.7614,3.686847,3.504224,2.364367
0.7683,3.986227,3.730155,2.558125
0.773,4.170864,3.798166,2.674171
0.7779,4.479391,4.084959,2.846107
0.7823,4.695271,4.258059,2.938721
0.7867,4.983408,4.452447,3.067032
0.7888,5.242831,4.727596,3.214237
0.791,5.498111,4.794441,3.305303
0.7939,5.682607,4.936494,3.465082
0.7949,5.943666,5.04821,3.575405
0.7966,6.692348,5.198627,3.719598
0.7987,6.419823,5.409885,3.870547
0.799,6.646015,5.597445,3.967745
0.7999,7.679533,6.016031,4.533859
0.8005,7.184949,5.926081,4.262004
0.8008,7.391384,6.133879,4.392541
0.8015,7.708024,6.211639,4.544886
0.8022,7.910168,6.368575,4.659615
0.8026,8.120854,6.556076,4.856186
0.8036,8.545892,6.680465,4.910365
0.8039,8.554639,7.388034,5.010024
0.8039,8.796841,7.246599,5.180144
0.8038,9.242069,7.220613,5.302346
